zip,latitude,longitude
85001,33.449,-112.069
85002,33.451,-112.068
85003,33.452,-112.075
85004,33.451,-112.068
85005,33.448,-112.128
85006,33.469,-112.046
85007,33.448,-112.09
85008,33.47,-111.999
85009,33.457,-112.123
85010,33.466,-111.987
85011,33.509,-112.057
85012,33.513,-112.066
85013,33.51,-112.08
85014,33.514,-112.053
85015,33.508,-112.101
85016,33.504,-112.029
85017,33.511,-112.122
85018,33.503,-111.983
85019,33.513,-112.142
85020,33.559,-112.056
85021,33.559,-112.089
85022,33.628,-112.052
85023,33.632,-112.112
85024,33.688,-112.05
85025,33.455,-112.074
85026,33.456,-111.979
85027,33.69,-112.107
85028,33.58,-112.006
85029,33.597,-112.118
85030,33.451,-112.077
85031,33.495,-112.171
85032,33.619,-112.004
85033,33.491,-112.214
85034,33.442,-112.026
85035,33.474,-112.188
85036,33.632,-112.153
85037,33.494,-112.254
85038,33.467,-111.988
85039,33.494,-112.289
85040,33.409,-112.026
85041,33.385,-112.103
85042,33.375,-112.032
85043,33.439,-112.191
85044,33.324,-112.001
85045,33.304,-112.114
85046,33.623,-112.003
85048,33.331,-112.047
85050,33.694,-112
85051,33.561,-112.134
85053,33.632,-112.131
85054,33.675,-111.936
85055,33.451,-111.975
85060,33.501,-111.982
85061,33.52,-112.127
85062,33.464,-111.988
85063,33.503,-112.172
85064,33.509,-112.032
85065,33.436,-112.049
85066,33.394,-112.032
85067,33.512,-112.082
85068,33.678,-112.061
85069,33.562,-112.098
85070,33.305,-112.048
85071,33.594,-112.109
85072,33.454,-112.01
85073,33.452,-112.073
85074,33.452,-112.092
85075,33.498,-112.214
85076,33.331,-111.989
85077,33.453,-111.974
85078,33.624,-112.006
85079,33.509,-112.12
85080,33.634,-112.111
85082,33.465,-111.985
85085,33.757,-112.131
85086,33.837,-112.089
85087,33.915,-112.137
85098,33.445,-112.124
85099,33.453,-112.07
